anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
2921,Ashita no Joe 2,8.76,TV,47,1980,63151
17074,Monogatari Series: Second Season,8.76,TV,26,2013,704450
47917,Bocchi the Rock!,8.75,TV,12,2022,723035
1,Cowboy Bebop,8.75,TV,26,1998,1993919
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,8.73,TV,13,2024,276995
51009,Jujutsu Kaisen 2nd Season,8.73,TV,23,2023,1241452
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.73,Movie,1,2022,341977
50160,Kingdom 4th Season,8.73,TV,26,2022,81332
21,One Piece,8.73,TV,Unknown,1999,2570968
53223,Kingdom 5th Season,8.72,TV,13,2024,53160
24701,Mushishi Zoku Shou 2nd Season,8.72,TV,10,2014,285418
44074,Shiguang Dailiren,8.72,ONA,11,2021,449386
45649,The First Slam Dunk,8.72,Movie,1,2022,68831
48569,86 Part 2,8.72,TV,12,2021,597707
39894,Hibike! Euphonium 3,8.72,TV,13,2024,90134
59845,Kaoru Hana wa Rin to Saku,8.71,TV,13,2025,245947
47778,Kimetsu no Yaiba: Yuukaku-hen,8.71,TV,11,2021,1638664
50172,Mob Psycho 100 III,8.71,TV,12,2022,803783
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,TV,13,2023,373450
52215,Chi. Chikyuu no Undou ni Tsuite,8.70,TV,25,2024,232769
1575,Code Geass: Hangyaku no Lelouch,8.70,TV,25,2006,2394103
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,TV,12,2017,198202
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,OVA,4,1999,288351
33352,Violet Evergarden,8.69,TV,13,2018,1926307
40434,Mo Dao Zu Shi: Wanjie Pian,8.68,ONA,12,2021,92560
21939,Mushishi Zoku Shou,8.68,TV,10,2014,319340
245,Great Teacher Onizuka,8.68,TV,43,1999,890149
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,TV,14,2024,252930
59986,Grand Blue Season 2,8.67,TV,12,2025,133704
5258,Hajime no Ippo: New Challenger,8.67,TV,26,2009,314239
431,Howl no Ugoku Shiro,8.67,Movie,1,2004,1441487
164,Mononoke Hime,8.67,Movie,1,1997,1340504
57864,Monogatari Series: Off & Monster Season,8.66,ONA,14,2024,93382
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.66,TV,13,2025,654453
457,Mushishi,8.65,TV,26,2005,881512
49413,Shiguang Dailiren II,8.65,ONA,12,2023,155788
50399,Tian Guan Cifu Er,8.65,ONA,12,2023,59345
23273,Shigatsu wa Kimi no Uso,8.64,TV,22,2014,2352742
35760,Shingeki no Kyojin Season 3,8.64,TV,12,2018,2564382
2001,Tengen Toppa Gurren Lagann,8.64,TV,27,2007,1713458
46102,Odd Taxi,8.64,TV,13,2021,486550
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.64,Movie,1,2020,388532
58125,Look Back,8.63,Movie,1,2024,189555
34599,Made in Abyss,8.63,TV,13,2017,1498293
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.63,TV,12,2021,1062560
11665,Natsume Yuujinchou Shi,8.63,TV,13,2012,261058
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,TV,12,2020,1448070
22135,Ping Pong the Animation,8.62,TV,11,2014,424950
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.62,Movie,1,2024,29156
54898,Bungou Stray Dogs 5th Season,8.62,TV,11,2023,237649
1535,Death Note,8.62,TV,37,2006,4157606
49818,Guimi Zhi Zhu: Xiaochou Pian,8.62,ONA,13,2025,121369
28891,Haikyuu!! Second Season,8.62,TV,25,2015,1524450
42310,Cyberpunk: Edgerunners,8.61,ONA,10,2022,950603
52742,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,Movie,1,2024,198631
19647,Hajime no Ippo: Rising,8.61,TV,25,2013,287260
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,Movie,1,2020,514826
41084,Made in Abyss: Retsujitsu no Ougonkyou,8.61,TV,12,2022,512126
34591,Natsume Yuujinchou Roku,8.61,TV,11,2017,201121
33,Kenpuu Denki Berserk,8.60,TV,25,1997,732225
52701,Dungeon Meshi,8.60,TV,24,2024,514698
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.60,Movie,1,2009,231651
