anime id,studio
795,Tezuka Productions
6007,Brain's Base
6007,Marvy Jack
33926,B.CMAY PICTURES
58059,Actas
58059,Bandai Namco Pictures
49570,DC Impression Vision
37936,Samsara Animation Studio
6377,Shaft
2605,Shaft
23775,Wit Studio
3588,Bones
2158,Tokyo Kids
2158,Minami Machi Bugyousho
42249,LIDENFILMS
41389,Seven Arcs
949,Gainax
54790,Lapin Track
6586,Studio Hibari
23225,TYO Animations
54846,Red Dog Culture House
283,Nippon Animation
30415,Kyoto Animation
37029,Studio Deen
9734,Kyoto Animation
6862,Kyoto Animation
49828,Sunrise
18429,TMS Entertainment
54764,Shin-Ei Animation
35798,TMS Entertainment
36215,Toei Animation
50739,Project No.9
42745,J.C.Staff
30885,Bones
25161,Toei Animation
36796,Shaft
26123,GoHands
8063,Studio Deen
22,Trans Arts
49889,J.C.Staff
54829,David Production
1921,Studio Pierrot
47405,Foch Film
60541,Motion Magic
60541,DC Impression Vision
35507,Lerche
49469,Orange
9513,Pierrot Plus
37435,Bones
52505,OLM
8408,Brain's Base
55993,Original Force
55993,Wonder Cat Animation
40262,Production I.G
24471,Studio Deen
24471,Wit Studio
15039,A-1 Pictures
31964,Bones
40956,David Production
48830,Kyoto Animation
